timestamp,face_detected,eye_contact_score,posture_score,expression_score,stress_score,attention_score,confidence_score,honesty_score,movement_score,expression_label
2026-05-17T15:59:01,1,76.39,78.96,48.0,43.98,76.72,69.31,67.92,74.98,uncertain
2026-05-17T15:59:02,1,80.88,77.87,68.0,30.4,79.44,75.37,74.37,71.87,neutral
2026-05-17T15:59:03,1,78.8,84.97,68.0,28.04,80.3,78.2,77.7,82.74,neutral
2026-05-17T15:59:04,1,78.16,79.96,48.0,42.92,78.41,70.48,69.11,77.4,uncertain
2026-05-17T15:59:05,1,75.59,80.16,68.0,31.0,76.46,74.83,74.29,76.01,neutral
2026-05-17T15:59:06,1,70.63,83.99,68.0,31.92,73.16,73.98,73.19,71.9,neutral
2026-05-17T15:59:07,1,73.35,79.94,68.0,32.28,74.27,73.43,72.64,70.72,neutral
2026-05-17T15:59:08,1,74.63,77.33,48.0,44.09,76.03,69.16,68.61,83.78,uncertain
2026-05-17T15:59:09,1,74.63,75.37,48.0,44.24,76.06,68.93,68.78,87.54,uncertain
2026-05-17T15:59:10,1,75.75,75.7,48.0,43.83,76.9,69.39,69.13,87.31,uncertain
2026-05-17T15:59:11,1,75.91,73.75,48.0,44.12,76.85,69.0,68.99,89.16,uncertain
